Add New Gift Certificate,"Neuen Gutschein hinzufügen"
"If empty, only one certificate will be created","Wenn leer wird nur ein Gutschein erzeugt"
Order,"Bestellung"
Create,"Erstellen"
Update,"Aktualisieren"
Email,"Email"
Amount values configuration,"Beträge konfigurieren"
Default Expiration Timespan (in days),"Standard-Verfallsdatum (in Tagen)"
Send this gift certificate(s),"Diesen Gutschein senden an"
To myself,"An mich"
Directly to someone else,"Direkt an jemand anderen"
I want to order printed gift certificate(s),"Ich möchte gerne gedruckte Gutschein(e) bestellen"
Select Amount,"Betrag auswählen"
Amount,"Betrag"
Yes,"Ja"
Used only for frontend orders.,"Wird nur für Bestellungen im Frontend verwendet."
Send printed copy to myself,"Eine gedruckte Kopie an mich senden"
"Please enter recipient's email or postal address","Bitte geben die E-Mail oder Post-Adresse des Empfängers an"
Will be included only when default expiration timespan is set.,"Wird nur eingefügt, wenn ein Standard-Verfallszeitraum angegeben ist."
Expires On,"Läuft ab am"
Expire On,"Läuft ab am"
Update Comments,"Kommentar aktualisieren"
Gift certificate(s): %s,"Gutschein(e): %s"
Leave empty for unlimited,"Leer lassen für unbegrenzt"
Enable custom message preview,"Vorschau Kunden-Nachricht aktivieren"
Email delivery options,"Email Versand Optionen"
Physical delivery options,"Physische Lieferoptionen"
Customer Created,"Erstellt durch Kunde"
Admin Created,"Erstellt durch Admin"
Created At,"Erstellt am"
Initial amount,"Start Guthaben"
Certificate Code,"Gutschein-Code"
Gift Certificate Info,"Gutschein Informationen"
Recipient Info,"Empfänger Informationen"
If sent to self:,"Wenn an sich selbst:"
Postal Address,"Post-Adresse"
By email only,"Nur per Mail"
Requested a printed copy,"Gedruckte Kopie angefordert"
Accepts random patters same as Certificate Number,"Akzeptiert zufällige Nummern wie die Gutschein-Nummer"
For any update please enter your comments and reasons here,"Bei Änderungen bitte hier Kommentar bzw. Gründe eintragen"
Pending,"Ausstehend"
Active,"Aktiv"
Inactive,"Deaktiviert"
Administrative Configuration,"Administrative Konfiguration"
Subscribe for extension update notifications,"Update-Mitteilungen anzeigen"
Send new GC confirmation,Send new GC confirmation
Never,Never
On order completion,On order completion
On payment completion,On payment completion
"Pattern examples:<br/><strong>50 - 1500</strong> : a range between $50 and $1500<br/><strong>25; 50; 100</strong> : a dropdown with values of $25, $50, $100<br/><strong>50</strong> : a static value of $50<br/><strong>-</strong> : enter "dash" to allow any amount value<br/>For multi-currency setups enter configuration for each currency on new line, like this:<br/><strong>EUR: 25; 50; 100<br/>CAD, USD: 50; 100; 200<br/>*: 100; 200; 500</strong><br/>Whitespaces are optional and will be ignored.","Pattern examples:<br/><strong>50 - 1500</strong> : a range between $50 and $1500<br/><strong>25; 50; 100</strong> : a dropdown with values of $25, $50, $100<br/><strong>50</strong> : a static value of $50<br/><strong>-</strong> : enter "dash" to allow any amount value<br/>For multi-currency setups enter configuration for each currency on new line, like this:<br/><strong>EUR: 25; 50; 100<br/>CAD, USD: 50; 100; 200<br/>*: 100; 200; 500</strong><br/>Whitespaces are optional and will be ignored."
"In current release you can not send emails for certificates that were generated in admin (%d selected)","In current release you can not send emails for certificates that were generated in admin (%d selected)"
