// All translation done by Rodrigo Namikawa

"Pattern examples:<br/><strong>50 - 1500</strong> : a range between $50 and $1500<br/><strong>25; 50; 100</strong> : a dropdown with values of $25, $50, $100<br/><strong>50</strong> : a static value of $50<br/><strong>-</strong> : enter "dash" to allow any amount value<br/>For multi-currency setups enter configuration for each currency on new line, like this:<br/><strong>EUR: 25; 50; 100<br/>CAD, USD: 50; 100; 200<br/>*: 100; 200; 500</strong><br/>Whitespaces are optional and will be ignored.","パターン例:<br/><strong>1000 - 200000</strong> : 1000円から20万円までの範囲<br/><strong>1000; 5000; 10000</strong> : ドロップダウンで1000円、5000円、10000円<br/><strong>1000</strong> : 固定された値として1000円<br/><strong>-</strong> :  "お客様のダッシュボード" で値段の入力を許可する<br/>複数通貨使用の場合、各設定でそれぞれの通貨を新規ラインで以下のように入力:<br/><strong>ユーロ: 25; 50; 100<br/>米ドル: 50; 100; 200<br/>英ポンド: 50; 100; 200</strong><br/>スペース（空白）は関係なく無視されます。"
"Pending","処理待ち"
"Physical delivery options","選択可能な発送設定"
"PIN","PIN番号"
"PIN format for email confirmations","PIN番号形式をメールで確認"
"PIN pattern","PIN番号のパターン"
"Please enter a valid card number.","有効なカード番号を入力してください。"
"Please enter a valid card number and PIN.","有効なカード番号とPIN番号を入力してください。"
"Please enter gift certificate information","商品券情報を入力してください。"
"Please enter recipient's email or postal address","受取人のメールアドレスと住所を入力してください。"
"Please note, that in current release shipping estimates will be calculated by purchaser's shipping address and not recipient's.","注意：現リリースでは送料は受取人ではなく購入者の住所を元に計算されます。"
"Please select gift certificates(s)","商品券を選んでください。"
"Postal Address","住所"
"Quantity of certificates to create","生成する商品券の枚数"
"Requested a printed copy","プリントされたコピーが必要"
"Recipient's email address","受取人のメールアドレス"
"Recipient's Email Address (optional):","受取人のメールアドレス(選択可能):"
"Recipient Info","受取人の詳細"
"Recipient's name","受取人の名前"
"Recipient's Name:","受取人の名前:"
"Recipient's postal address","受取人の住所"
"Recipient's Postal Address (optional):","受取人の住所(選択可能):"
"Refund","払い戻し"
"Save Gift Certificate","商品券の保存"
"Select Amount","金額を設定"
"Send new GC confirmation","新規に商品券の確認メールを送る"
"Send this gift certificate(s)","商品券の送り先"
"Status","現設定"
"Store View","ストアビュー" 
"Subscribe for extension update notifications","このエクステンションの更新メールを受け取る"
"The card number entered is invalid. Please retry","入力されたカード番号に誤りがあります。再入力してください。"
"The card number or PIN entered are invalid. Please retry","カード番号かPIN番号に誤りがあります。再入力してください。"
"There was an error while updating certificate(s) status","商品券設定の更新中にエラーが発生しました。"
"Title","タイトル"
"Timestamp","時間詳細"
"To check the balance of a Gift Card, enter the card number below.","商品券の残高を確認するには、下記にカード番号を入力してください。"
"To check the balance of a Gift Card, enter the card number and PIN below.","商品券の残高を確認するには、下記にカード番号とPIN番号を入力してください。"
"To myself","自分宛"
"Total of '%d' record(s) were successfully deleted","全'%d'のレコードは完全に消去されました。"
"Total of '%d' record(s) were successfully updated","全'%d'のレコードは無事、更新されました。"
"Total of %d gift certificates(s) and %d emails were successfully sent","計%dの商品券と%dのメールが送られました。"
"Transaction History","利用履歴"
"Update","更新"
"Update Comments","コメントの更新"
"Used only for frontend orders.","サイト内のみ、使用可能です."
"Use PIN","PIN番号を使用する"
"Username","ユーザーの名前"
"Will be included only when default expiration timespan is set.","標準の有効期限が設定された場合のみ、反映されます。"
"Yes","確定する"
"Your Gift Card Balance","お客様の商品券の残高"
"'%s' will be replaced with PIN.","'%s'はPIN番号と取変わります。"
